date,regime,prob_RANGING,prob_TREND,prob_HIGH_VOL
2016-05-23,TREND,1.6661644913997382e-277,1.0,4.346043129648374e-186
2016-05-24,TREND,2.6591389148203912e-06,0.9999326159725909,6.472488926011426e-05
2016-05-25,TREND,2.062763023774479e-06,0.999927095947073,7.084129004600899e-05
2016-05-26,TREND,3.373428412683841e-06,0.999958318580993,3.830798984376761e-05
2016-05-27,TREND,3.74112100148745e-06,0.9999402463626936,5.601251578468274e-05
2016-05-30,TREND,1.1486722015078406e-05,0.9998964050594972,9.210821936434917e-05
2016-05-31,TREND,8.828903791692303e-05,0.9995914587039237,0.0003202522577126738
2016-06-01,TREND,0.0005595024378299927,0.9907610553385858,0.008679442222915206
2016-06-02,TREND,0.00317085959819259,0.8600004230561474,0.13682871734543472
2016-06-03,HIGH_VOL,4.178769718343305e-13,2.351515010616354e-06,0.9999976484842045
2016-06-06,HIGH_VOL,9.802049428261974e-13,4.7437231998299685e-08,0.9999999525625765
2016-06-07,HIGH_VOL,5.976868446628638e-07,0.0009550859141640793,0.9990443163981058
2016-06-08,HIGH_VOL,5.610896930335326e-07,0.0011361602606381604,0.9988632786496451
2016-06-09,HIGH_VOL,4.386366548134782e-07,0.0003364025949233037,0.9996631587677381
2016-06-10,HIGH_VOL,5.00463694817806e-07,0.00010448810026305764,0.9998950114351481
2016-06-13,HIGH_VOL,1.8421215514763498e-06,6.296796858719437e-05,0.9999351899107436
2016-06-14,HIGH_VOL,4.515826126102281e-07,1.322552341391388e-05,0.9999863228939285
2016-06-15,HIGH_VOL,8.501351573425631e-07,1.3011715745319326e-05,0.9999861381489946
2016-06-16,HIGH_VOL,3.170076493778693e-10,5.1635223197584583e-08,0.999999948047845
2016-06-17,HIGH_VOL,1.1644335276673889e-06,2.9646195351506653e-05,0.9999691893716691
2016-06-20,HIGH_VOL,4.604845391727984e-07,2.9328830614864114e-06,0.9999966066319125
2016-06-21,HIGH_VOL,2.949631338567542e-07,2.717139470246342e-06,0.9999969878981463
2016-06-22,HIGH_VOL,9.789834712185283e-07,2.4335187035492884e-06,0.999996587498028
2016-06-23,HIGH_VOL,4.6661766368305295e-07,9.612303048091335e-07,0.9999985721525453
2016-06-24,HIGH_VOL,2.451783848617695e-55,9.927407010946858e-36,1.0
2016-06-27,HIGH_VOL,2.9266632124198237e-27,1.0614266639486602e-17,1.0
2016-06-28,HIGH_VOL,3.0331511070867526e-15,6.125649263511932e-08,0.9999999387437147
2016-06-29,HIGH_VOL,3.8835544251172355e-15,1.0225641863767382e-07,0.9999998977436969
2016-06-30,HIGH_VOL,2.344144964980621e-15,8.370319176809752e-08,0.9999999162973872
2016-07-01,HIGH_VOL,4.923641614890435e-16,9.191554038076901e-08,0.9999999080846507
2016-07-04,HIGH_VOL,4.562167213839143e-12,2.809495114500011e-06,0.9999971905002343
2016-07-05,HIGH_VOL,3.4754718906542875e-12,9.370008454936494e-07,0.9999990629953415
2016-07-06,HIGH_VOL,6.749059349396237e-12,1.053770586831916e-06,0.999998946221795
2016-07-07,HIGH_VOL,3.961445075216256e-12,2.0608161804609567e-06,0.9999979391798978
2016-07-08,HIGH_VOL,1.7547043639317836e-11,2.011501640213232e-06,0.9999979884816862
2016-07-11,HIGH_VOL,1.607600188729075e-11,5.166625252334482e-06,0.9999948333594832
2016-07-12,HIGH_VOL,5.06202547074511e-11,4.582250293448128e-06,0.9999954176997049
2016-07-13,HIGH_VOL,9.526457334845755e-11,3.962669816299317e-06,0.9999960372357537
2016-07-14,HIGH_VOL,1.354078380645386e-09,3.936095634450646e-06,0.9999960625505293
2016-07-15,HIGH_VOL,3.504907609377753e-10,1.2052445100063367e-06,0.9999987944054729
2016-07-18,HIGH_VOL,1.7083287615540067e-08,5.211300660816887e-06,0.9999947716160279
2016-07-19,HIGH_VOL,7.053019952934456e-09,4.261523673447247e-06,0.9999957314230569
2016-07-20,HIGH_VOL,1.2510967998148733e-08,5.3382020674702e-06,0.9999946492878186
2016-07-21,HIGH_VOL,2.5561762799068586e-08,9.670832752901817e-06,0.9999903036056715
2016-07-22,HIGH_VOL,5.472309805295474e-05,0.00018281310211157444,0.999762463799953
2016-07-25,RANGING,0.9575177367626785,0.0010184014847712014,0.04146386175316325
2016-07-26,RANGING,0.9990178905230781,0.00010987293177752762,0.0008722365460435257
2016-07-27,RANGING,0.9998884797348134,2.891104501710381e-05,8.260922052753652e-05
2016-07-28,RANGING,0.9991610525691779,2.7321967093020325e-05,0.0008116254631224515
2016-07-29,RANGING,0.9955254704359952,6.290803365708764e-05,0.004411621530881834
2016-08-01,RANGING,0.9984537688066171,4.277022128752074e-05,0.0015034609725961708
2016-08-02,RANGING,0.9997364254623732,3.528869362204549e-05,0.0002282858440245022
2016-08-03,RANGING,0.9999437913220137,2.21909676959492e-05,3.40177109042029e-05
2016-08-04,RANGING,0.9998191421659041,3.1723936520493216e-05,0.00014913389699492972
2016-08-05,RANGING,0.9990730999845938,3.4225779564272095e-05,0.0008926742352691601
2016-08-08,RANGING,0.9999164473720903,1.0228255876318005e-05,7.33243729366777e-05
2016-08-09,RANGING,0.9999587129288118,6.925520421428674e-06,3.436155070923797e-05
2016-08-10,RANGING,0.9998741112096964,5.749210216443955e-06,0.00012013957988765939
2016-08-11,RANGING,0.9988409950655546,1.4923167876755157e-05,0.0011440817660022737
2016-08-12,RANGING,0.9899413645062247,0.00010576712456701148,0.009952868369432804
2016-08-15,RANGING,0.9455421289626322,0.0017531636691214617,0.052704707367641775
2016-08-16,HIGH_VOL,0.14082690835485384,0.025932397259575538,0.8332406943854838
2016-08-17,HIGH_VOL,0.13817834702807308,0.2105123153351947,0.6513093376370168
2016-08-18,TREND,0.10035141308303756,0.7345462392954768,0.16510234762188178
2016-08-19,TREND,0.03367633368500509,0.9355619781730397,0.03076168814277536
2016-08-22,TREND,0.007059599311279911,0.9888966625744317,0.004043738114582278
2016-08-23,TREND,0.0006184026727568847,0.9990395771967635,0.0003420201300955406
